,id,name
102,1501300,1501300:OTHER PRODUCTS
103,150200,150200:CONSTRUCTION
104,1502000,1502000:CHANGES IN INVENTORIES
105,150300,150300:OTHER PRODUCTS
106,1503000,1503000:ACQUISITIONS LESS DISPOSALS OF VALUABLES (Category)
107,1600000,1600000:BALANCE OF EXPORTS AND IMPORTS
108,160100,160100:CHANGES IN INVENTORIES
109,160200,160200:ACQUISITIONS LESS DISPOSALS OF VALUABLES
110,170000,170000:BALANCE OF EXPORTS AND IMPORTS
111,2.0.cov.Cel,Coverage: Mobile Phone
112,2.0.cov.Ele,Coverage: Electricity
113,2.0.cov.FPS,Coverage: Finished Primary School
114,2.0.cov.Int,Coverage: Internet 
115,2.0.cov.Math.pl_2.all,Coverage: Mathematics Proficiency Level 2
116,2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools"
117,2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools"
118,2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3
119,2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools"
120,2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools"
121,2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2
122,2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools"
123,2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools"
124,2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3
125,2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools"
126,2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools"
127,2.0.cov.San,Coverage: Sanitation
128,2.0.cov.Sch,Coverage: School Enrollment
129,2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2
130,2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools"
131,2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools"
132,2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3
133,2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools"
134,2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools"
135,2.0.cov.Wat,Coverage: Water
136,2.0.hoi.Cel,HOI: Mobile Phone
137,2.0.hoi.Ele,HOI: Electricity
138,2.0.hoi.FPS,HOI: Finished Primary School
139,2.0.hoi.Int,HOI: Internet 
140,2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2
141,2.0.hoi.Math.pl_2.prv,"HOI: Mathematics Proficiency Level 2, Private schools"
142,2.0.hoi.Math.pl_2.pub,"HOI: Mathematics Proficiency Level 2, Public schools"
143,2.0.hoi.Math.pl_3.all,HOI: Mathematics Proficiency Level 3
144,2.0.hoi.Math.pl_3.prv,"HOI: Mathematics Proficiency Level 3, Private schools"
145,2.0.hoi.Math.pl_3.pub,"HOI: Mathematics Proficiency Level 3, Public schools"
146,2.0.hoi.Read.pl_2.all,HOI: Reading Proficiency Level 2
147,2.0.hoi.Read.pl_2.prv,"HOI: Reading Proficiency Level 2, Private schools"
148,2.0.hoi.Read.pl_2.pub,"HOI: Reading Proficiency Level 2, Public schools"
149,2.0.hoi.Read.pl_3.all,HOI: Reading Proficiency Level 3
150,2.0.hoi.Read.pl_3.prv,"HOI: Reading Proficiency Level 3, Private schools"
151,2.0.hoi.Read.pl_3.pub,"HOI: Reading Proficiency Level 3, Public schools"
152,2.0.hoi.San,HOI: Sanitation
153,2.0.hoi.Sch,HOI: School Enrollment
154,2.0.hoi.Scie.pl_2.all,HOI: Science Proficiency Level 2
155,2.0.hoi.Scie.pl_2.prv,"HOI: Science Proficiency Level 2, Private schools"
156,2.0.hoi.Scie.pl_2.pub,"HOI: Science Proficiency Level 2, Public schools"
157,2.0.hoi.Scie.pl_3.all,HOI: Science Proficiency Level 3
158,2.0.hoi.Scie.pl_3.prv,"HOI: Science Proficiency Level 3, Private schools"
159,2.0.hoi.Scie.pl_3.pub,"HOI: Science Proficiency Level 3, Public schools"
160,2.0.hoi.Wat,HOI: Water
161,2.1_ACCESS.CFT.TOT,Access to Clean Fuels and Technologies for cooking (% of total population)
162,2.1_PRE.PRIMARY.GER,"School enrolment, preprimary, national source (% gross)"
163,2.1_SHARE.TOTAL.RE.IN.TFEC,Renewable energy consumption(% in TFEC)
164,2.2_GIR,"Gross intake ratio in grade 1, total, national source (% of relevant age group)"
165,2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1
166,2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group) "
167,2.5_PCR,"Primary completion rate, total, national source (% of relevant age group)"
168,2.6_PCR.GPI,Gender parity index for primary completion rate 
169,2.7_PRI.SEC.TRANSITION.RATE,"Progression to secondary school, national source (%)"
170,2.8_LOW.SEC.COMPLETION.RATE,"Lower secondary completion rate, total, national source (% of relevant age group)"
171,3.0.Atkin.0.5,"Atkinson, A(.5)"
172,3.0.Atkin.1,"Atkinson, A(1)"
173,3.0.Atkin.2,"Atkinson, A(2)"
174,3.0.GenEnt-1,"Generalized Entrophy, GE(-1)"
175,3.0.GenEnt2,"Generalized Entrophy, GE(2)"
176,3.0.Gini,Gini Coefficient
177,3.0.Gini_nozero,Gini Coefficient (No Zero Income)
178,3.0.IncShr.q1,Income Share of First Quintile
